"Report Date","Borough","Community Districts","Census Type","Adult Family Commercial Hotel","Adult Family Shelter","Adult Shelter","Adult Shelter Commercial Hotel","Family Cluster","Family with Children Commercial Hotel","Family with Children Shelter"
"03/31/2026","Bronx","2","Individuals",,"116",,,,,"795"
"03/31/2026","Bronx","1","Individuals",,,"658","151",,"216","1,432"
"02/28/2026","Manhattan","3","Individuals",,,"767","140",,"97","107"
"02/28/2026","Staten Island","2","Individuals",,,"39",,,,"219"
"02/28/2026","Staten Island","1","Individuals",,,"98","104",,"45","513"
"02/28/2026","Queens","14","Individuals",,"293","205","201",,"237",
"02/28/2026","Queens","13","Individuals",,"68","453","773",,,"592"
"02/28/2026","Queens","12","Individuals",,"561","878","658",,"6,142","1,274"
"02/28/2026","Queens","11","Individuals",,,"72",,,,
"02/28/2026","Queens","10","Individuals",,,"172","160",,"671",
"02/28/2026","Queens","9","Individuals",,,"111",,,,
"02/28/2026","Queens","8","Individuals",,,"172",,,"163","300"
"02/28/2026","Queens","7","Individuals",,,"332",,,"83",
"02/28/2026","Queens","6","Individuals",,,"98",,,,"209"
"02/28/2026","Queens","5","Individuals",,,"192",,,,"209"
"02/28/2026","Queens","4","Individuals",,,,"248",,,"537"
"02/28/2026","Queens","3","Individuals",,"250",,"161",,"1,803","783"
"02/28/2026","Queens","2","Individuals",,"290","347","131",,"827","282"
"02/28/2026","Queens","1","Individuals",,,"340","121",,"3,960","722"
"02/28/2026","Manhattan","12","Individuals",,,"420",,,,
"02/28/2026","Manhattan","11","Individuals",,,"1,024",,,,"510"
"02/28/2026","Manhattan","10","Individuals",,,"754",,,,"585"
"02/28/2026","Manhattan","9","Individuals",,,"27",,,,"547"
"02/28/2026","Manhattan","8","Individuals",,,"70",,,"511",
"02/28/2026","Manhattan","7","Individuals",,"178","378",,,"953","329"
"02/28/2026","Manhattan","6","Individuals",,,"450",,,"256","649"
"02/28/2026","Manhattan","5","Individuals",,"323","78","43",,"2,697","380"
"02/28/2026","Manhattan","4","Individuals","159",,"331","305",,"1,119","382"
"02/28/2026","Manhattan","1","Individuals",,,,,,"76",
"02/28/2026","Brooklyn","18","Individuals",,"369",,,,"300","772"
"02/28/2026","Brooklyn","17","Individuals",,,,"108",,,"1,629"
"02/28/2026","Brooklyn","16","Individuals",,,"903","431",,"336","2,248"
"02/28/2026","Brooklyn","15","Individuals",,,,"118",,"282","147"
"02/28/2026","Brooklyn","14","Individuals",,,"515",,,,"70"
"02/28/2026","Brooklyn","13","Individuals",,,,"73",,,"383"
